ID,Account,Email,AGE,Commute,Education,Occupation,Gender,Flag,Married,Cars,HomeChild,TotalChild,Income,Territory,YTD
11377,AW00011377,david22@adventure-works.com,57,"0-1 Miles","Graduate Degree",Clerical,M,1,M,0,0,4,25001-50000,Germany,0
11913,AW00011913,rebecca3@adventure-works.com,53,"5-10 Miles",Bachelors,Professional,F,1,M,1,3,3,50001-75000,Australia,0
11952,AW00011952,dorothy3@adventure-works.com,64,"1-2 Miles","Partial College","Skilled Manual",M,0,S,2,0,2,75001-100000,Australia,1
20164,AW00020164,carolann0@adventure-works.com,75,"0-1 Miles",Bachelors,Clerical,M,1,M,0,0,1,25001-50000,"United Kingdom",1
20211,AW00020211,scott10@adventure-works.com,50,"2-5 Miles",Bachelors,Professional,M,1,M,1,2,2,50001-75000,Australia,1
20562,AW00020562,jim4@adventure-works.com,63,"5-10 Miles","Partial College",Professional,F,1,M,3,4,3,"greater than 100000","United Kingdom",1
20668,AW00020668,eric9@adventure-works.com,50,"0-1 Miles",Bachelors,"Skilled Manual",F,0,S,1,2,2,50001-75000,Southwest,1
20813,AW00020813,michael22@adventure-works.com,39,"2-5 Miles","Partial College",Manual,M,1,M,1,0,0,0-25000,Australia,0
21190,AW00021190,pablo0@adventure-works.com,55,"5-10 Miles",Bachelors,Professional,M,0,S,1,0,0,50001-75000,Australia,0
21279,AW00021279,linda10@adventure-works.com,71,"5-10 Miles","Partial High School",Clerical,F,1,M,2,1,2,0-25000,Australia,0
21286,AW00021286,luke0@adventure-works.com,55,"5-10 Miles","Partial College",Professional,M,1,S,2,2,0,75001-100000,Southwest,0
21403,AW00021403,lisa0@adventure-works.com,60,"1-2 Miles","High School",Professional,M,0,S,2,0,2,50001-75000,Australia,1
21867,AW00021867,michael23@adventure-works.com,70,"10+ Miles","Partial High School","Skilled Manual",M,1,M,2,0,5,75001-100000,France,0
21945,AW00021945,pearlie0@adventure-works.com,49,"0-1 Miles","Graduate Degree",Management,F,1,S,0,0,1,75001-100000,Australia,1
22552,AW00022552,andrea0@adventure-works.com,56,"0-1 Miles","Graduate Degree",Clerical,F,0,S,0,0,1,0-25000,France,0
22706,AW00022706,andy2@adventure-works.com,42,"2-5 Miles","Partial College",Clerical,F,1,S,1,0,0,25001-50000,Germany,0
23079,AW00023079,justine0@adventure-works.com,70,"5-10 Miles","Partial College",Clerical,F,0,S,2,0,2,25001-50000,Australia,0
23605,AW00023605,deanna2@adventure-works.com,62,"0-1 Miles","Partial College",Professional,M,1,M,3,4,3,"greater than 100000",Germany,1
23746,AW00023746,lane1@adventure-works.com,38,"0-1 Miles","Partial High School",Manual,F,0,S,2,0,0,0-25000,France,0
24075,AW00024075,peter5@adventure-works.com,53,"0-1 Miles","Partial High School",Manual,F,1,M,2,3,4,0-25000,France,0
11964,AW00011964,sharon4@adventure-works.com,62,"1-2 Miles","High School","Skilled Manual",M,0,S,2,0,2,50001-75000,Australia,1
12669,AW00012669,irving0@adventure-works.com,42,"10+ Miles",Bachelors,Professional,M,0,S,3,0,0,50001-75000,Australia,1
12741,AW00012741,raymond1@adventure-works.com,46,"2-5 Miles","High School",Manual,M,1,S,1,0,0,25001-50000,Germany,0
12873,AW00012873,mandar2@adventure-works.com,44,"0-1 Miles","Partial High School",Manual,F,0,S,2,0,0,0-25000,"United Kingdom",1
12903,AW00012903,john27@adventure-works.com,49,"2-5 Miles",Bachelors,"Skilled Manual",F,1,S,0,2,2,25001-50000,Canada,1
13020,AW00013020,madalena0@adventure-works.com,73,"5-10 Miles","Partial High School",Clerical,M,1,M,2,1,2,0-25000,Australia,1
13228,AW00013228,thomas4@adventure-works.com,71,"10+ Miles",Bachelors,Management,M,1,M,3,0,5,50001-75000,Southwest,0
13512,AW00013512,ken3@adventure-works.com,77,"2-5 Miles","Partial College",Manual,F,1,M,1,0,2,0-25000,France,0
13566,AW00013566,mikael1@adventure-works.com,67,"0-1 Miles","High School",Manual,F,1,S,2,0,3,0-25000,Germany,0
14016,AW00014016,mary9@adventure-works.com,67,"1-2 Miles","High School","Skilled Manual",M,0,M,2,0,3,25001-50000,Australia,0
14063,AW00014063,patrick4@adventure-works.com,54,"0-1 Miles",Bachelors,Professional,F,0,S,1,0,0,50001-75000,Australia,1
14207,AW00014207,"josé5@adventure-works.com",71,"10+ Miles","Partial High School",Professional,M,1,M,3,5,4,"greater than 100000",Germany,1
14689,AW00014689,lloyd0@adventure-works.com,37,"0-1 Miles","Partial High School",Manual,F,0,S,2,0,0,0-25000,France,0
14847,AW00014847,vadim0@adventure-works.com,44,"1-2 Miles","Partial High School",Manual,F,0,S,2,0,0,0-25000,"United Kingdom",1
14974,AW00014974,k0@adventure-works.com,39,"0-1 Miles","Partial College",Clerical,M,1,S,2,3,3,25001-50000,"United Kingdom",0
15096,AW00015096,gary4@adventure-works.com,73,"10+ Miles",Bachelors,Management,M,1,M,2,0,5,75001-100000,Germany,0
15622,AW00015622,yvonne2@adventure-works.com,46,"1-2 Miles","High School",Manual,M,0,S,1,0,0,25001-50000,Germany,0
15789,AW00015789,steve3@adventure-works.com,52,"0-1 Miles","Graduate Degree",Management,F,0,S,2,0,0,"greater than 100000",Australia,1
15807,AW00015807,scot1@adventure-works.com,56,"10+ Miles","Partial College","Skilled Manual",M,1,S,3,4,5,50001-75000,Australia,0
15811,AW00015811,barbara7@adventure-works.com,58,"5-10 Miles","Partial College","Skilled Manual",M,1,M,3,4,5,50001-75000,Australia,0
16130,AW00016130,mike5@adventure-works.com,57,"2-5 Miles",Bachelors,Professional,F,0,S,1,0,0,25001-50000,Southwest,0
16603,AW00016603,scott11@adventure-works.com,70,"10+ Miles","Partial High School",Professional,F,1,M,3,5,4,"greater than 100000",Germany,1
16621,AW00016621,birgit0@adventure-works.com,45,"10+ Miles","High School",Management,F,0,M,2,5,0,75001-100000,Australia,0
16737,AW00016737,steven3@adventure-works.com,39,"5-10 Miles","High School","Skilled Manual",F,1,S,2,0,0,25001-50000,Northwest,0
16936,AW00016936,alice3@adventure-works.com,82,"0-1 Miles","Graduate Degree",Clerical,F,1,M,0,0,1,0-25000,France,0
17166,AW00017166,joshua1@adventure-works.com,67,"2-5 Miles","High School",Professional,M,1,M,2,1,2,50001-75000,Northwest,0
17326,AW00017326,paul4@adventure-works.com,55,"5-10 Miles",Bachelors,Professional,F,1,S,1,0,0,50001-75000,Australia,1
24257,AW00024257,alan3@adventure-works.com,70,"1-2 Miles","Partial High School",Clerical,M,0,M,2,1,2,0-25000,Australia,0
24535,AW00024535,david23@adventure-works.com,60,"5-10 Miles","Partial College",Professional,F,1,M,3,4,2,"greater than 100000",France,0
24541,AW00024541,janet3@adventure-works.com,62,"0-1 Miles","Partial College",Professional,M,1,M,4,3,3,"greater than 100000","United Kingdom",0
24561,AW00024561,megan2@adventure-works.com,63,"2-5 Miles","High School",Professional,M,0,S,3,4,3,75001-100000,Germany,0
24598,AW00024598,irma0@adventure-works.com,44,"10+ Miles","High School",Management,M,1,S,2,5,0,75001-100000,Australia,1
