ID,Account,Email,AGE,Commute,Education,Occupation,Gender,Flag,Married,Cars,HomeChild,TotalChild,Income,Territory,YTD
11952,AW00011952,dorothy3@adventure-works.com,64,"1-2 Miles","Partial College","Skilled Manual",M,0,S,2,0,2,75001-100000,Australia,1
20164,AW00020164,carolann0@adventure-works.com,75,"0-1 Miles",Bachelors,Clerical,M,1,M,0,0,1,25001-50000,"United Kingdom",1
20211,AW00020211,scott10@adventure-works.com,50,"2-5 Miles",Bachelors,Professional,M,1,M,1,2,2,50001-75000,Australia,1
20562,AW00020562,jim4@adventure-works.com,63,"5-10 Miles","Partial College",Professional,F,1,M,3,4,3,"greater than 100000","United Kingdom",1
20668,AW00020668,eric9@adventure-works.com,50,"0-1 Miles",Bachelors,"Skilled Manual",F,0,S,1,2,2,50001-75000,Southwest,1
21403,AW00021403,lisa0@adventure-works.com,60,"1-2 Miles","High School",Professional,M,0,S,2,0,2,50001-75000,Australia,1
21945,AW00021945,pearlie0@adventure-works.com,49,"0-1 Miles","Graduate Degree",Management,F,1,S,0,0,1,75001-100000,Australia,1
23605,AW00023605,deanna2@adventure-works.com,62,"0-1 Miles","Partial College",Professional,M,1,M,3,4,3,"greater than 100000",Germany,1
11964,AW00011964,sharon4@adventure-works.com,62,"1-2 Miles","High School","Skilled Manual",M,0,S,2,0,2,50001-75000,Australia,1
12669,AW00012669,irving0@adventure-works.com,42,"10+ Miles",Bachelors,Professional,M,0,S,3,0,0,50001-75000,Australia,1
12873,AW00012873,mandar2@adventure-works.com,44,"0-1 Miles","Partial High School",Manual,F,0,S,2,0,0,0-25000,"United Kingdom",1
12903,AW00012903,john27@adventure-works.com,49,"2-5 Miles",Bachelors,"Skilled Manual",F,1,S,0,2,2,25001-50000,Canada,1
13020,AW00013020,madalena0@adventure-works.com,73,"5-10 Miles","Partial High School",Clerical,M,1,M,2,1,2,0-25000,Australia,1
14063,AW00014063,patrick4@adventure-works.com,54,"0-1 Miles",Bachelors,Professional,F,0,S,1,0,0,50001-75000,Australia,1
14207,AW00014207,"josé5@adventure-works.com",71,"10+ Miles","Partial High School",Professional,M,1,M,3,5,4,"greater than 100000",Germany,1
14847,AW00014847,vadim0@adventure-works.com,44,"1-2 Miles","Partial High School",Manual,F,0,S,2,0,0,0-25000,"United Kingdom",1
15789,AW00015789,steve3@adventure-works.com,52,"0-1 Miles","Graduate Degree",Management,F,0,S,2,0,0,"greater than 100000",Australia,1
16603,AW00016603,scott11@adventure-works.com,70,"10+ Miles","Partial High School",Professional,F,1,M,3,5,4,"greater than 100000",Germany,1
17326,AW00017326,paul4@adventure-works.com,55,"5-10 Miles",Bachelors,Professional,F,1,S,1,0,0,50001-75000,Australia,1
24598,AW00024598,irma0@adventure-works.com,44,"10+ Miles","High School",Management,M,1,S,2,5,0,75001-100000,Australia,1
24705,AW00024705,daniel1@adventure-works.com,46,"2-5 Miles","High School",Manual,F,1,S,1,0,0,25001-50000,"United Kingdom",1
25946,AW00025946,britta1@adventure-works.com,65,"5-10 Miles","Partial College","Skilled Manual",F,1,M,2,0,2,25001-50000,Australia,1
26292,AW00026292,marty0@adventure-works.com,47,"0-1 Miles","Graduate Degree","Skilled Manual",F,1,M,0,1,1,50001-75000,Northwest,1
27948,AW00027948,cathy0@adventure-works.com,65,"10+ Miles",Bachelors,Management,M,1,M,2,5,2,"greater than 100000",Germany,1
28678,AW00028678,ben2@adventure-works.com,52,"0-1 Miles",Bachelors,"Skilled Manual",M,0,S,1,3,3,75001-100000,Northwest,1
29407,AW00029407,samantha1@adventure-works.com,42,"0-1 Miles","High School",Manual,F,1,M,1,4,4,0-25000,"United Kingdom",1
17641,AW00017641,lorrin0@adventure-works.com,47,"1-2 Miles","Partial High School",Manual,M,0,S,2,0,0,0-25000,France,1
17900,AW00017900,victoria0@adventure-works.com,76,"1-2 Miles","Partial College",Manual,F,1,S,1,0,3,0-25000,France,1
19073,AW00019073,lolan1@adventure-works.com,69,"10+ Miles","High School",Management,M,0,M,4,5,0,"greater than 100000","United Kingdom",1
19254,AW00019254,anibal1@adventure-works.com,61,"0-1 Miles",Bachelors,Clerical,M,1,S,0,0,1,0-25000,Germany,1
19960,AW00019960,phil0@adventure-works.com,45,"10+ Miles","High School",Management,M,1,M,2,5,0,75001-100000,Australia,1
25660,AW00025660,warren1@adventure-works.com,56,"0-1 Miles",Bachelors,"Skilled Manual",M,1,M,1,0,1,25001-50000,France,1
12298,AW00012298,crystal1@adventure-works.com,73,"2-5 Miles","Partial College",Professional,F,0,S,2,0,5,75001-100000,Germany,1
25311,AW00025311,laura7@adventure-works.com,45,"1-2 Miles",Bachelors,"Skilled Manual",F,1,M,1,1,1,25001-50000,France,1
20933,AW00020933,laura10@adventure-works.com,40,"0-1 Miles","Partial College",Clerical,F,1,S,3,4,4,25001-50000,"United Kingdom",1
19998,AW00019998,laura11@adventure-works.com,51,"10+ Miles","High School","Skilled Manual",F,1,S,3,5,5,25001-50000,Southwest,1
18185,AW00018185,laura12@adventure-works.com,70,"10+ Miles","Partial High School",Professional,F,0,M,3,5,4,"greater than 100000",Germany,1
20615,AW00020615,laura13@adventure-works.com,44,"10+ Miles","Partial College",Management,F,1,S,3,5,0,"greater than 100000",Australia,1
21103,AW00021103,francis1@adventure-works.com,55,"0-1 Miles",Bachelors,"Skilled Manual",M,1,M,0,0,1,25001-50000,"United Kingdom",1
11462,AW00011462,laura14@adventure-works.com,46,"10+ Miles","High School",Management,F,1,M,4,5,0,"greater than 100000",Australia,1
12683,AW00012683,laura15@adventure-works.com,45,"10+ Miles","Partial High School",Professional,F,1,S,4,5,5,"greater than 100000",Australia,1
12867,AW00012867,laura16@adventure-works.com,43,"0-1 Miles","Partial High School",Manual,F,1,S,2,0,0,0-25000,Germany,1
16287,AW00016287,laura18@adventure-works.com,51,"0-1 Miles",Bachelors,Professional,F,1,M,0,0,0,25001-50000,"United Kingdom",1
28869,AW00028869,isabella1@adventure-works.com,46,"5-10 Miles","Partial College","Skilled Manual",F,1,S,2,0,0,50001-75000,Northwest,1
14830,AW00014830,isabella2@adventure-works.com,55,"0-1 Miles",Bachelors,"Skilled Manual",F,1,M,0,0,1,25001-50000,Germany,1
24503,AW00024503,laura21@adventure-works.com,77,"0-1 Miles",Bachelors,Management,F,1,M,2,0,2,25001-50000,Australia,1
21552,AW00021552,francis2@adventure-works.com,42,"10+ Miles",Bachelors,Professional,M,0,M,3,0,0,75001-100000,Australia,1
29203,AW00029203,laura26@adventure-works.com,61,"5-10 Miles","Partial College",Professional,F,1,M,0,2,3,50001-75000,Southwest,1
16820,AW00016820,isabella5@adventure-works.com,66,"10+ Miles","Partial College",Professional,F,1,M,2,2,5,50001-75000,Canada,1
24640,AW00024640,lisa8@adventure-works.com,77,"1-2 Miles",Bachelors,Management,F,0,S,2,0,4,25001-50000,Southwest,1
14102,AW00014102,lisa9@adventure-works.com,76,"5-10 Miles","Graduate Degree",Management,F,1,S,1,0,2,50001-75000,Australia,1
17979,AW00017979,lisa11@adventure-works.com,50,"0-1 Miles",Bachelors,Clerical,F,0,M,0,0,0,25001-50000,"United Kingdom",1
16425,AW00016425,lisa15@adventure-works.com,52,"0-1 Miles",Bachelors,Professional,F,1,M,0,0,0,25001-50000,France,1
15059,AW00015059,lisa17@adventure-works.com,59,"0-1 Miles","Graduate Degree",Clerical,F,1,M,0,0,3,25001-50000,"United Kingdom",1
13846,AW00013846,lisa22@adventure-works.com,43,"0-1 Miles",Bachelors,"Skilled Manual",F,1,M,0,1,1,25001-50000,"United Kingdom",1
11241,AW00011241,lisa24@adventure-works.com,61,"5-10 Miles","Partial College",Professional,F,1,S,4,3,2,75001-100000,France,1
19480,AW00019480,lisa25@adventure-works.com,56,"0-1 Miles","Partial College",Clerical,F,1,M,1,0,1,25001-50000,France,1
15481,AW00015481,jamie2@adventure-works.com,47,"2-5 Miles","Graduate Degree",Professional,F,1,S,0,0,2,50001-75000,Southwest,1
18465,AW00018465,jamie7@adventure-works.com,66,"5-10 Miles","High School","Skilled Manual",F,1,S,2,0,3,25001-50000,Australia,1
19986,AW00019986,jamie8@adventure-works.com,49,"2-5 Miles",Bachelors,"Skilled Manual",F,1,S,0,2,2,25001-50000,Southwest,1
12624,AW00012624,jamie15@adventure-works.com,66,"2-5 Miles","Partial College",Manual,F,1,M,1,0,2,0-25000,Germany,1
21389,AW00021389,jamie16@adventure-works.com,65,"1-2 Miles","High School","Skilled Manual",F,0,M,2,0,3,25001-50000,Australia,1
26022,AW00026022,jamie18@adventure-works.com,49,"2-5 Miles","Graduate Degree",Management,F,1,M,0,0,1,75001-100000,Australia,1
22196,AW00022196,francis6@adventure-works.com,62,"1-2 Miles","High School","Skilled Manual",M,0,S,2,0,2,75001-100000,Australia,1
13895,AW00013895,isabella8@adventure-works.com,48,"2-5 Miles","Graduate Degree",Professional,F,1,S,0,0,5,50001-75000,Northwest,1
20151,AW00020151,jamie21@adventure-works.com,38,"2-5 Miles","Partial College",Manual,F,1,M,1,0,0,0-25000,Australia,1
15155,AW00015155,jamie22@adventure-works.com,77,"10+ Miles","Graduate Degree",Management,F,1,M,2,0,5,50001-75000,Southwest,1
21429,AW00021429,isabella10@adventure-works.com,62,"5-10 Miles","Partial College",Professional,F,1,M,2,0,3,50001-75000,Northwest,1
12789,AW00012789,jamie26@adventure-works.com,61,"0-1 Miles","Partial College",Clerical,F,1,M,1,0,1,25001-50000,Southwest,1
22168,AW00022168,erica1@adventure-works.com,69,"1-2 Miles","Partial College",Clerical,F,0,M,2,0,3,25001-50000,Australia,1
17278,AW00017278,isabella11@adventure-works.com,48,"0-1 Miles",Bachelors,Professional,F,1,M,0,0,2,75001-100000,Australia,1
18308,AW00018308,erica2@adventure-works.com,62,"5-10 Miles","Partial College","Skilled Manual",F,1,S,1,0,1,50001-75000,Australia,1
16033,AW00016033,erica7@adventure-works.com,47,"0-1 Miles","Graduate Degree",Manual,F,1,M,0,0,0,0-25000,"United Kingdom",1
13010,AW00013010,erica9@adventure-works.com,53,"5-10 Miles",Bachelors,Professional,F,1,M,2,3,3,50001-75000,Australia,1
20863,AW00020863,erica12@adventure-works.com,49,"0-1 Miles","Graduate Degree",Clerical,F,1,M,0,0,0,25001-50000,"United Kingdom",1
26135,AW00026135,erica13@adventure-works.com,51,"1-2 Miles",Bachelors,Professional,F,1,M,0,3,3,75001-100000,Australia,1
25221,AW00025221,erica14@adventure-works.com,57,"5-10 Miles","Partial College","Skilled Manual",F,1,S,1,0,1,50001-75000,Australia,1
11481,AW00011481,erica19@adventure-works.com,45,"1-2 Miles",Bachelors,"Skilled Manual",F,1,M,0,1,1,25001-50000,Germany,1
20832,AW00020832,kelvin1@adventure-works.com,57,"0-1 Miles","Graduate Degree",Clerical,M,1,S,0,0,3,25001-50000,"United Kingdom",1
22816,AW00022816,erica20@adventure-works.com,72,"10+ Miles",Bachelors,Management,F,1,M,4,4,4,"greater than 100000",Germany,1
17043,AW00017043,isabella12@adventure-works.com,60,"2-5 Miles",Bachelors,Professional,F,1,M,1,0,1,50001-75000,Northwest,1
12486,AW00012486,kristen8@adventure-works.com,54,"0-1 Miles","High School",Manual,F,1,S,0,3,3,0-25000,"United Kingdom",1
15751,AW00015751,kristen11@adventure-works.com,63,"5-10 Miles","High School","Skilled Manual",F,1,S,2,0,2,75001-100000,Australia,1
12774,AW00012774,kristen13@adventure-works.com,63,"1-2 Miles","Partial College",Clerical,F,1,M,1,0,1,25001-50000,Southwest,1
12033,AW00012033,kristen15@adventure-works.com,39,"0-1 Miles","High School","Skilled Manual",F,0,S,2,0,0,25001-50000,Northwest,1
24463,AW00024463,kristen16@adventure-works.com,88,"1-2 Miles","Graduate Degree",Management,F,1,M,1,0,1,75001-100000,Australia,1
